time,minute,activity_top3,delta_top3,activity_rank,delta_rank
18:55,1135,"g6,g2,g4","g1,g2,g3",1:g6;2:g2;3:g4;4:g1;5:g3;6:g5;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:00,1140,"g6,g2,g4","g1,g2,g3",1:g6;2:g2;3:g4;4:g5;5:g8;6:g1;7:g3;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:05,1145,"g2,g5,g6","g1,g2,g3",1:g2;2:g5;3:g6;4:g1;5:g3;6:g4;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:10,1150,"g5,g2,g1","g6,g5,g4",1:g5;2:g2;3:g1;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g6;2:g5;3:g4;4:g2;5:g3;6:g8;7:g7;8:g1;9:g9
19:15,1155,"g2,g5,g1","g1,g2,g3",1:g2;2:g5;3:g1;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:20,1160,"g5,g6,g1","g1,g2,g3",1:g5;2:g6;3:g1;4:g2;5:g3;6:g4;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:25,1165,"g5,g2,g6","g5,g2,g6",1:g5;2:g2;3:g6;4:g1;5:g3;6:g4;7:g7;8:g8;9:g9,1:g5;2:g2;3:g6;4:g8;5:g1;6:g9;7:g7;8:g3;9:g4
19:30,1170,"g2,g5,g6","g1,g2,g3",1:g2;2:g5;3:g6;4:g1;5:g3;6:g4;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:35,1175,"g2,g5,g1","g1,g2,g3",1:g2;2:g5;3:g1;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:40,1180,"g5,g8,g1","g1,g2,g3",1:g5;2:g8;3:g1;4:g2;5:g3;6:g4;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:45,1185,"g2,g1,g3","g5,g6,g2",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g5;2:g6;3:g2;4:g8;5:g3;6:g9;7:g1;8:g4;9:g7
19:50,1190,"g8,g1,g2","g1,g2,g3",1:g8;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
19:55,1195,"g2,g1,g3","g1,g2,g3",1:g2;2:g1;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:00,1200,"g9,g1,g2","g1,g2,g3",1:g9;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g8,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:05,1205,"g5,g1,g2","g1,g2,g3",1:g5;2:g1;3:g2;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:10,1210,"g9,g1,g2","g2,g8,g3",1:g9;2:g1;3:g2;4:g3;5:g4;6:g5;7:g6;8:g7;9:g8,1:g2;2:g8;3:g3;4:g9;5:g7;6:g1;7:g6;8:g4;9:g5
20:15,1215,"g5,g1,g2","g1,g2,g3",1:g5;2:g1;3:g2;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:20,1220,"g5,g1,g2","g1,g2,g3",1:g5;2:g1;3:g2;4:g3;5:g4;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:25,1225,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:30,1230,"g1,g2,g3","g5,g9,g8",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g5;2:g9;3:g8;4:g3;5:g7;6:g1;7:g4;8:g2;9:g6
20:35,1235,"g1,g2,g3","g1,g2,g3",1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:40,1240,"g6,g7,g1","g1,g2,g3",1:g6;2:g7;3:g1;4:g2;5:g3;6:g4;7:g5;8:g8;9:g9,1:g1;2:g2;3:g3;4:g4;5:g5;6:g6;7:g7;8:g8;9:g9
20:45,1245,"g2,g6,g1","g1,g3,g4",1:g2;2:g6;3:g1;4:g3;5:g4;6:g5;7:g7;8:g8;9:g9,1:g1;2:g3;3:g4;4:g6;5:g7;6:g9;7:g8;8:g2;9:g5
