signal_date,next_date,group,machine_count,group_signal_total,group_signal_score,any_signal_machine_count,all3_machine_count,up_up_up_count,right_count,low_convergence_right_count,no_signal_machine_count,signal_machine_ratio,all3_machine_ratio,down_down_down_count,next_bullish_count,next_bullish_rate,next_close_mean,next_close_median,next_close_sum,next_high_mean,next_low_mean,next_max_close,next_max_high,next_min_low,next_any_close_gt_3000,next_any_close_gt_5000,next_any_close_gt_10000,next_any_close_gt_15000,next_any_close_gt_20000,next_any_close_gt_3000_machine_count,next_any_close_gt_5000_machine_count,next_any_close_gt_10000_machine_count,evaluated,rank
2026-08-17,2026-08-18,g1,4,1,0.25,1,0,0,1,0,3,0.25,0.0,2,0,0.0,-2237.0,-658.0,-8948.0,2292.5,-3859.5,-132.0,3712.0,-7500.0,False,False,False,False,False,0,0,0,True,8
2026-08-17,2026-08-18,g2,4,2,0.5,1,0,1,1,0,3,0.25,0.0,1,2,0.5,-7645.5,-6933.5,-30582.0,2947.5,-13448.25,6070.0,7686.0,-22785.0,True,True,False,False,False,1,1,0,True,7
2026-08-17,2026-08-18,g3,5,1,0.2,1,0,1,0,0,4,0.2,0.0,2,1,0.2,-1892.4,-9474.0,-9462.0,6611.0,-9059.8,31897.0,33055.0,-19211.0,True,True,True,True,True,1,1,1,True,9
2026-08-17,2026-08-18,g4,5,3,0.6,2,0,1,1,1,3,0.4,0.0,0,4,0.8,5653.6,3144.0,28268.0,8532.8,-6421.2,15808.0,17118.0,-13333.0,True,True,True,True,False,3,2,2,True,5
2026-08-17,2026-08-18,g5,5,3,0.6,1,1,1,1,1,4,0.2,0.2,0,3,0.6,-3883.6,1223.0,-19418.0,4559.0,-8608.6,2795.0,10131.0,-21772.0,False,False,False,False,False,0,0,0,True,6
2026-08-17,2026-08-18,g6,4,5,1.25,2,1,1,2,2,2,0.5,0.25,0,4,1.0,10731.5,12183.5,42926.0,14727.0,-1480.25,15284.0,18952.0,-3640.0,True,True,True,True,False,4,3,3,True,2
2026-08-17,2026-08-18,g7,4,6,1.5,2,2,2,2,2,2,0.5,0.5,0,1,0.25,-270.75,-5570.0,-1083.0,7564.0,-6237.0,17250.0,20125.0,-8246.0,True,True,True,True,False,1,1,1,True,1
2026-08-17,2026-08-18,g8,4,4,1.0,2,0,1,2,1,2,0.5,0.0,0,1,0.25,-1194.25,-1140.5,-4777.0,6528.25,-5526.25,9258.0,15371.0,-11754.0,True,True,False,False,False,1,1,0,True,3
2026-08-17,2026-08-18,g9,4,3,0.75,2,0,2,1,0,2,0.5,0.0,0,3,0.75,10611.75,10327.5,42447.0,13244.75,-4342.0,27625.0,28000.0,-6316.0,True,True,True,True,True,3,3,2,True,4
2026-08-18,2026-08-19,g1,4,2,0.5,1,0,0,1,1,3,0.25,0.0,0,1,0.25,-2692.0,-3662.5,-10768.0,6594.0,-8147.0,4978.0,15721.0,-16579.0,True,False,False,False,False,1,0,0,True,6
2026-08-18,2026-08-19,g2,4,2,0.5,1,0,1,1,0,3,0.25,0.0,1,3,0.75,6861.0,9846.0,27444.0,12717.0,-7768.5,21875.0,25500.0,-14123.0,True,True,True,True,True,3,3,2,True,7
2026-08-18,2026-08-19,g3,5,2,0.4,1,0,0,1,1,4,0.2,0.0,1,2,0.4,-8704.0,-14561.0,-43520.0,6647.4,-12895.2,6000.0,19875.0,-24937.0,True,True,False,False,False,2,1,0,True,8
2026-08-18,2026-08-19,g4,5,6,1.2,2,2,2,2,2,3,0.4,0.4,1,3,0.6,5305.0,1790.0,26525.0,10231.2,-4487.8,18000.0,21375.0,-6754.0,True,True,True,True,False,2,2,2,True,3
2026-08-18,2026-08-19,g5,5,7,1.4,4,1,3,2,2,1,0.8,0.2,0,3,0.6,4566.0,2838.0,22830.0,12064.0,-9071.0,28553.0,32154.0,-25696.0,True,True,True,True,True,2,2,2,True,1
2026-08-18,2026-08-19,g6,4,4,1.0,2,0,0,2,2,2,0.5,0.0,0,4,1.0,20305.5,22625.0,81222.0,20913.75,-1264.0,27500.0,27500.0,-2018.0,True,True,True,True,True,4,4,3,True,4
2026-08-18,2026-08-19,g7,4,3,0.75,1,1,1,1,1,3,0.25,0.25,1,1,0.25,-5523.0,-7873.0,-22092.0,4410.5,-10328.75,6987.0,10742.0,-14035.0,True,True,False,False,False,1,1,0,True,5
2026-08-18,2026-08-19,g8,4,0,0.0,0,0,0,0,0,4,0.0,0.0,0,1,0.25,-5763.25,-4671.0,-23053.0,6714.0,-8527.5,8821.0,17380.0,-22532.0,True,True,False,False,False,1,1,0,True,9
2026-08-18,2026-08-19,g9,4,5,1.25,2,1,2,2,1,2,0.5,0.25,0,3,0.75,7210.75,1593.5,28843.0,10398.5,-7822.5,28375.0,28625.0,-12719.0,True,True,True,True,True,1,1,1,True,2
2026-08-19,2026-08-20,g1,4,4,1.0,2,0,1,2,1,2,0.5,0.0,1,1,0.25,-5623.75,-8859.5,-22495.0,4214.0,-9342.25,8996.0,16856.0,-13772.0,True,True,False,False,False,1,1,0,True,1
2026-08-19,2026-08-20,g2,4,4,1.0,2,1,1,2,1,2,0.5,0.25,2,2,0.5,-1558.0,317.5,-6232.0,5720.5,-7686.5,5677.0,14061.0,-12544.0,True,True,False,False,False,2,2,0,True,2
