scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,bullish_rate_difference,close_mean_difference
All39,LOW_CONVERGENCE_RIGHT,D: Low < -10000,all_signal,93,14,0.15053763440860216,79,0.8494623655913979,-8072.1612903225805,-10133.0,-29872.0,47135.0,2387.2150537634407,0.0,0.0,47396.0,-14681.989247311827,-13333.0,-29872.0,-10044.0,17069.204301075268,15467.0,10133.0,58975.0,6609.8279569892475,3830.0,0.0,58714.0,,
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,wall_group,205,173,0.8439024390243902,32,0.15609756097560976,11492.565853658536,9310.0,-4711.0,53438.0,15612.936585365853,13448.0,0.0,53438.0,-2181.731707317073,-2222.0,-4978.0,0.0,17794.668292682927,15172.0,3518.0,55333.0,13674.29756097561,11443.0,0.0,55333.0,,
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,wall_group,233,80,0.34334763948497854,153,0.6566523605150214,-2230.0557939914165,-5122.0,-29872.0,47135.0,5459.652360515021,3190.0,0.0,47396.0,-10201.377682403434,-8681.0,-29872.0,-5067.0,15661.030042918455,13964.0,5422.0,58975.0,7971.321888412017,5156.0,0.0,58714.0,,
All39,DOWN_DOWN_DOWN,A: Low >= -3000,all_signal,37,30,0.8108108108108109,7,0.1891891891891892,5082.594594594595,3448.0,-2756.0,20579.0,9537.72972972973,9397.0,0.0,25785.0,-1437.3243243243244,-1422.0,-2793.0,0.0,10975.054054054053,10403.0,978.0,26040.0,6519.918918918919,3850.0,0.0,20579.0,,
All39,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,all_signal,33,14,0.42424242424242425,19,0.5757575757575758,1405.3939393939395,-444.0,-4800.0,23554.0,5766.666666666667,5259.0,0.0,24793.0,-4062.5151515151515,-4089.0,-4912.0,-3089.0,9829.181818181818,9168.0,3289.0,29133.0,5467.909090909091,3556.0,0.0,27894.0,,
All39,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,all_signal,88,21,0.23863636363636365,67,0.7613636363636364,-3702.931818181818,-6222.0,-9956.0,13621.0,3295.0227272727275,1164.0,0.0,20579.0,-7885.784090909091,-8267.0,-9956.0,-5244.0,11180.806818181818,9555.5,5244.0,29770.0,4182.852272727273,889.0,0.0,21836.0,,
All39,DOWN_DOWN_DOWN,D: Low < -10000,all_signal,141,8,0.05673758865248227,133,0.9432624113475178,-12498.262411347518,-12089.0,-29362.0,13054.0,885.3475177304964,0.0,0.0,13054.0,-15487.95744680851,-14222.0,-31688.0,-10044.0,16373.304964539007,15367.0,10088.0,31688.0,2989.695035460993,511.0,0.0,23642.0,,
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,wall_group,70,44,0.6285714285714286,26,0.37142857142857144,3349.057142857143,1379.5,-4800.0,23554.0,7759.942857142857,7053.5,0.0,25785.0,-2674.9142857142856,-2756.0,-4912.0,0.0,10434.857142857143,9952.5,978.0,29133.0,6023.971428571429,3782.5,0.0,27894.0,,
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,wall_group,229,29,0.12663755458515283,200,0.8733624454148472,-9118.397379912663,-9191.0,-29362.0,13621.0,1811.3362445414848,88.0,0.0,20579.0,-12566.59825327511,-11200.0,-31688.0,-5244.0,14377.934497816594,13511.0,5244.0,31688.0,3448.2008733624452,533.0,0.0,23642.0,,
Original4,UP_UP_UP,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261904761904762,10397.519047619047
Original4,RIGHT,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46989247311827953,12375.95806451613
Original4,LOW_CONVERGENCE_RIGHT,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41829085457271364,11345.212893553224
Original4,DOWN_DOWN_DOWN,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,8151.3099999999995
Holdout35,UP_UP_UP,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3982234589041096,12817.536601027397
Holdout35,RIGHT,DIFFERENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4780143222837886,13262.913337221737
