scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,13937.5,14195.5,86.0,27273.0,16696.25,16609.5,6293.0,27273.0,-1175.0,-216.5,-4267.0,0.0,17871.25,16826.0,10560.0,27273.0,15112.5,14412.0,4353.0,27273.0,040
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,8,3,0.375,5,0.625,-2013.25,-3545.0,-15822.0,13448.0,4495.375,3024.5,0.0,15690.0,-9744.25,-7555.0,-17067.0,-5067.0,14239.625,14577.5,7889.0,21734.0,7731.0,7548.5,0.0,19492.0,040
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,13937.5,14195.5,86.0,27273.0,16696.25,16609.5,6293.0,27273.0,-1175.0,-216.5,-4267.0,0.0,17871.25,16826.0,10560.0,27273.0,15112.5,14412.0,4353.0,27273.0,040
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,8,3,0.375,5,0.625,-2013.25,-3545.0,-15822.0,13448.0,4495.375,3024.5,0.0,15690.0,-9744.25,-7555.0,-17067.0,-5067.0,14239.625,14577.5,7889.0,21734.0,7731.0,7548.5,0.0,19492.0,040
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,0,0,,0,,,,,,,,,,,,,,,,,,,,,,040
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,7,1,0.14285714285714285,6,0.8571428571428571,-5960.0,-8178.0,-18667.0,13621.0,2894.1428571428573,0.0,0.0,15000.0,-11731.714285714286,-11556.0,-18667.0,-5511.0,14625.857142857143,13689.0,9142.0,23495.0,5771.714285714285,3378.0,0.0,19132.0,040
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,4,3,0.75,1,0.25,16754.25,18347.5,-1216.0,31538.0,19709.25,20950.5,5398.0,31538.0,-2961.0,-2688.5,-4935.0,-1532.0,22670.25,23121.0,7966.0,36473.0,19715.25,20518.0,1352.0,36473.0,041
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,4,2,0.5,2,0.5,4439.0,1152.5,-2400.0,17851.0,6681.25,3315.5,259.0,19835.0,-6840.0,-6423.0,-9447.0,-5067.0,13521.25,9116.5,6570.0,29282.0,11279.0,7575.5,2667.0,27298.0,041
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,5,3,0.6,2,0.4,9302.4,4425.0,-4000.0,31538.0,14262.6,15575.0,1207.0,31538.0,-2841.2,-2311.0,-4978.0,-450.0,17103.8,16025.0,3518.0,36473.0,12143.6,4875.0,0.0,36473.0,041
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,8,4,0.5,4,0.5,1171.875,78.5,-9772.0,23802.0,5536.5,3793.0,0.0,25289.0,-8613.75,-9094.5,-11733.0,-5067.0,14150.25,12152.5,6570.0,31927.0,9785.625,7588.0,0.0,30440.0,041
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,5,3,0.6,2,0.4,9302.4,4425.0,-4000.0,31538.0,14262.6,15575.0,1207.0,31538.0,-2841.2,-2311.0,-4978.0,-450.0,17103.8,16025.0,3518.0,36473.0,12143.6,4875.0,0.0,36473.0,041
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,7,4,0.5714285714285714,3,0.42857142857142855,1415.4285714285713,690.0,-9772.0,23802.0,6290.428571428572,3793.0,0.0,25289.0,-8942.714285714286,-9567.0,-11733.0,-5067.0,15233.142857142857,12415.0,8860.0,31927.0,10358.142857142857,9398.0,0.0,30440.0,041
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,2,2,1.0,0,0.0,6465.5,6465.5,5172.0,7759.0,10948.5,10948.5,8621.0,13276.0,-2444.5,-2444.5,-3289.0,-1600.0,13393.0,13393.0,11910.0,14876.0,8910.0,8910.0,8461.0,9359.0,041
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,6,2,0.3333333333333333,4,0.6666666666666666,-3641.1666666666665,-4044.0,-8178.0,1724.0,574.6666666666666,86.0,0.0,2759.0,-10014.666666666666,-10266.5,-14222.0,-5244.0,10589.333333333334,10525.0,5244.0,14222.0,6373.5,5600.0,889.0,12746.0,041
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,13572.0,10517.0,-4622.0,40885.0,19520.6,18952.0,6724.0,40885.0,-2155.0,-1277.0,-4622.0,0.0,21675.6,19917.0,11346.0,40885.0,15727.0,13367.0,0.0,40885.0,042
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,5,3,0.6,2,0.4,2101.6,1724.0,-18489.0,23554.0,9055.6,2931.0,0.0,23554.0,-10834.4,-7149.0,-18489.0,-5156.0,19890.0,18489.0,9420.0,30703.0,12936.0,8213.0,0.0,30703.0,042
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,6,6,1.0,0,0.0,15780.166666666666,11890.5,5862.0,40885.0,18760.0,15510.5,8621.0,40885.0,-1672.0,-1727.0,-3911.0,0.0,20432.0,17517.5,11288.0,40885.0,17452.166666666668,13752.0,8529.0,40885.0,042
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,8,4,0.5,4,0.5,-1919.125,240.0,-23935.0,23554.0,7225.625,3922.5,0.0,23554.0,-11924.875,-7441.0,-23935.0,-5156.0,19150.5,20234.5,9420.0,30703.0,10005.75,6551.0,0.0,30703.0,042
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,4,4,1.0,0,0.0,17632.0,11890.5,5862.0,40885.0,20131.75,15510.5,8621.0,40885.0,-1530.25,-1727.0,-2667.0,0.0,21662.0,17237.5,11288.0,40885.0,19162.25,13617.5,8529.0,40885.0,042
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,6,3,0.5,3,0.5,-2638.8333333333335,-5923.5,-23935.0,23554.0,8326.666666666666,3718.0,0.0,23554.0,-13796.166666666666,-12290.0,-23935.0,-5156.0,22122.833333333332,23690.0,13681.0,30703.0,11157.333333333334,6749.5,0.0,30703.0,042
